FCS File,plate,row,column,Other Sample Source Information,Sample Description,gene_intron_is_from,intron_number,variant,branch_point,induced_protein,from_glycerol_stock,induction,replicate
000.fcs,1,A,1,v1,RPL7B.Intron1.S2,RPL7B,Intron1,S2,wtBP,Rpl7a,False,uninduced,a
001.fcs,1,B,1,v1,RPL7B.Intron1.S2,RPL7B,Intron1,S2,wtBP,Rpl7a,False,uninduced,b
002.fcs,1,G,1,v1,RPL7B.Intron1.S4,RPL7B,Intron1,S4,wtBP,Rpl7a,False,uninduced,a
003.fcs,1,H,1,v1,RPL7B.Intron1.S4,RPL7B,Intron1,S4,wtBP,Rpl7a,False,uninduced,b
004.fcs,1,A,2,v1,RPL7B.Intron1.S2,RPL7B,Intron1,S2,wtBP,Rpl7a,False,induced,a
005.fcs,1,B,2,v1,RPL7B.Intron1.S2,RPL7B,Intron1,S2,wtBP,Rpl7a,False,induced,b
006.fcs,1,G,2,v1,RPL7B.Intron1.S4,RPL7B,Intron1,S4,wtBP,Rpl7a,False,induced,a
007.fcs,1,H,2,v1,RPL7B.Intron1.S4,RPL7B,Intron1,S4,wtBP,Rpl7a,False,induced,b
008.fcs,1,A,3,v1,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,False,uninduced,a
009.fcs,1,B,3,v1,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,False,uninduced,b
010.fcs,1,C,3,v1,RPL7B.Intron1.S3,RPL7B,Intron1,S3,wtBP,Rpl7a,False,uninduced,a
011.fcs,1,D,3,v1,RPL7B.Intron1.S3,RPL7B,Intron1,S3,wtBP,Rpl7a,False,uninduced,b
012.fcs,1,E,3,v1,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
013.fcs,1,F,3,v1,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,b
014.fcs,1,A,4,v1,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,False,induced,a
015.fcs,1,B,4,v1,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,False,induced,b
016.fcs,1,C,4,v1,RPL7B.Intron1.S3,RPL7B,Intron1,S3,wtBP,Rpl7a,False,induced,a
017.fcs,1,D,4,v1,RPL7B.Intron1.S3,RPL7B,Intron1,S3,wtBP,Rpl7a,False,induced,b
018.fcs,1,E,4,v1,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
019.fcs,1,F,4,v1,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,b
020.fcs,1,A,5,v1,no-GFP,NA,NA,NA,NA,NA,True,uninduced,a
021.fcs,1,B,5,v1,no-GFP,NA,NA,NA,NA,NA,True,induced,a
022.fcs,1,A,7,v2,no-GFP,NA,NA,NA,NA,NA,True,uninduced,a
023.fcs,1,A,8,v2,no-GFP,NA,NA,NA,NA,NA,True,induced,a
024.fcs,1,A,9,v2,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,uninduced,a
025.fcs,1,B,9,v2,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,uninduced,b
026.fcs,1,C,9,v2,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,uninduced,c
027.fcs,1,D,9,v2,RPL7B.Intron1.S1.consensusBP,RPL7B,Intron1,S1,consensusBP,Rpl7a,False,uninduced,a
028.fcs,1,E,9,v2,RPL7B.Intron1.S1.consensusBP,RPL7B,Intron1,S1,consensusBP,Rpl7a,False,uninduced,b
029.fcs,1,F,9,v2,RPL7B.Intron1.S1.consensusBP,RPL7B,Intron1,S1,consensusBP,Rpl7a,False,uninduced,c
030.fcs,1,G,9,v2,RPL7B.Intron1.S4.consensusBP,RPL7B,Intron1,S4,consensusBP,Rpl7a,False,uninduced,a
031.fcs,1,H,9,v2,RPL7B.Intron1.S4.consensusBP,RPL7B,Intron1,S4,consensusBP,Rpl7a,False,uninduced,b
032.fcs,1,A,10,v2,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,induced,a
033.fcs,1,B,10,v2,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,induced,b
034.fcs,1,C,10,v2,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,induced,c
035.fcs,1,D,10,v2,RPL7B.Intron1.S1.consensusBP,RPL7B,Intron1,S1,consensusBP,Rpl7a,False,induced,a
036.fcs,1,E,10,v2,RPL7B.Intron1.S1.consensusBP,RPL7B,Intron1,S1,consensusBP,Rpl7a,False,induced,b
037.fcs,1,F,10,v2,RPL7B.Intron1.S1.consensusBP,RPL7B,Intron1,S1,consensusBP,Rpl7a,False,induced,c
038.fcs,1,G,10,v2,RPL7B.Intron1.S4.consensusBP,RPL7B,Intron1,S4,consensusBP,Rpl7a,False,induced,a
039.fcs,1,H,10,v2,RPL7B.Intron1.S4.consensusBP,RPL7B,Intron1,S4,consensusBP,Rpl7a,False,induced,b
040.fcs,1,A,11,v2,RPL7B.Intron1.S4.consensusBP,RPL7B,Intron1,S4,consensusBP,Rpl7a,False,uninduced,c
041.fcs,1,B,11,v2,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
042.fcs,1,C,11,v2,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,b
043.fcs,1,D,11,v2,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,c
044.fcs,1,E,11,v2,RPL7B.Intron1.S4,RPL7B,Intron1,S4,wtBP,Rpl7a,True,uninduced,a
045.fcs,1,F,11,v2,RPL7B.Intron1.S4,RPL7B,Intron1,S4,wtBP,Rpl7a,True,uninduced,b
046.fcs,1,G,11,v2,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,True,uninduced,a
047.fcs,1,H,11,v2,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,True,uninduced,b
048.fcs,1,A,12,v2,RPL7B.Intron1.S4.consensusBP,RPL7B,Intron1,S4,consensusBP,Rpl7a,False,induced,c
049.fcs,1,B,12,v2,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
050.fcs,1,C,12,v2,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,b
051.fcs,1,D,12,v2,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,c
052.fcs,1,E,12,v2,RPL7B.Intron1.S4,RPL7B,Intron1,S4,wtBP,Rpl7a,True,induced,a
053.fcs,1,F,12,v2,RPL7B.Intron1.S4,RPL7B,Intron1,S4,wtBP,Rpl7a,True,induced,b
054.fcs,1,G,12,v2,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,True,induced,a
055.fcs,1,H,12,v2,RPL7B.Intron1.consensusBP,RPL7B,Intron1,wt,consensusBP,Rpl7a,True,induced,b
056.fcs,1,A,8,v3,RPL7B.Intron1.S1+D2,RPL7B,Intron1,S1+D2,wtBP,Rpl7a,False,uninduced,a
057.fcs,1,B,8,v3,RPL7B.Intron1.S1+D2,RPL7B,Intron1,S1+D2,wtBP,Rpl7a,False,uninduced,b
058.fcs,1,C,8,v3,RPL7B.Intron1.S1+D3,RPL7B,Intron1,S1+D3,wtBP,Rpl7a,False,uninduced,a
059.fcs,1,D,8,v3,RPL7B.Intron1.S1+D3,RPL7B,Intron1,S1+D3,wtBP,Rpl7a,False,uninduced,b
060.fcs,1,E,8,v3,RPL7B.Intron1.S1+D4,RPL7B,Intron1,S1+D4,wtBP,Rpl7a,False,uninduced,a
061.fcs,1,F,8,v3,RPL7B.Intron1.S1+D4,RPL7B,Intron1,S1+D4,wtBP,Rpl7a,False,uninduced,b
062.fcs,1,G,8,v3,RPL7B.Intron1.S1+D2.consensusBP,RPL7B,Intron1,S1+D2,consensusBP,Rpl7a,False,uninduced,a
063.fcs,1,H,8,v3,RPL7B.Intron1.S1+D2.consensusBP,RPL7B,Intron1,S1+D2,consensusBP,Rpl7a,False,uninduced,b
064.fcs,1,A,9,v3,RPL7B.Intron1.S1+D2,RPL7B,Intron1,S1+D2,wtBP,Rpl7a,False,induced,a
065.fcs,1,B,9,v3,RPL7B.Intron1.S1+D2,RPL7B,Intron1,S1+D2,wtBP,Rpl7a,False,induced,b
066.fcs,1,C,9,v3,RPL7B.Intron1.S1+D3,RPL7B,Intron1,S1+D3,wtBP,Rpl7a,False,induced,a
067.fcs,1,D,9,v3,RPL7B.Intron1.S1+D3,RPL7B,Intron1,S1+D3,wtBP,Rpl7a,False,induced,b
